Batch No,Order No,Order Item,Material Name,Cutting ID,Pieces ID,Length,Angles,Qty,Bin No,Cart No,Position,Label Print,Barcode No,PO No,Style,Frame,Product Size,Color,Grid,Glass,Argon,Painting,Product Date,Balance,Shift,Ship date,Note,Customer
,12,1,HMST130-01-AL,1,1,117.33464759165848,V,1,12,,TOP+BOT,,,,XO,Retrofit,,,,Clear Tmprd,,,,,,,Almond,WilsonL108694
,31,1,HMST130-01-BL,1,1,72.33464759165847,V,1,31,,TOP+BOT,,,,XO,Retrofit,,,,Lowe3 Tmprd,Argon,,,,,,Black,FAMI108859
,32,1,HMST130-01-BL,1,2,70.33464566929135,V,1,32,,TOP+BOT,,,,OX,Retrofit,,,,Lowe3 Tmprd,Argon,,,,,,Black,FAMI108859
,34,1,HMST130-01-WH,6,1,118.3346437469242,V,1,34,,TOP+BOT,,,,XOF,Retrofit,,,,Lowe3 Tmprd,Argon,,,,,,,Jesus108687
,33,1,HMST130-01-WH,7,1,116.8346495140256,V,1,33,,TOP+BOT,,,,XO,Retrofit,,,,Lowe3 Tmprd,Argon,,,,,,,EddieZ108903
,13,1,HMST130-01-WH,1,1,95.83464375,V,1,13,,TOP+BOT,,,,XO,Retrofit,,,,Lowe3 Tmprd,Argon,,,,,,,BPLiu108808
,14,1,HMST130-01-WH,3,1,95.83464375,V,1,14,,TOP+BOT,,,,XO,Retrofit,,,,Lowe3 Tmprd,Argon,,,,,,,BPLiu108808
,17,1,HMST130-01-WH,2,1,94.33464951,V,1,17,,TOP+BOT,,,,OX,Retrofit,,,,Lowe2 Tmprd,,,,,,,,Miao108904
,3,1,HMST130-01-WH,4,1,92.83464566929136,V,1,3,,TOP+BOT,,,,XO,Retrofit,,,,Lowe3 Tmprd,Argon,,,,,,,APW108582
,26,1,HMST130-01-WH,5,1,89.83464759165847,V,1,26,,TOP+BOT,,,,XO,Retrofit,,,,Lowe3 Tmprd,Argon,,,,,,,Extreme108784
,25,1,HMST130-01-WH,8,1,87.58464182,V,1,25,,TOP+BOT,,,,XO,Retrofit,,,,Lowe3 Tmprd,Argon,,,,,,,Extreme108784
,19,1,HMST130-01-WH,9,1,84.33464951,V,1,19,,TOP+BOT,,,,XO,Retrofit,,,,Lowe3 Tmprd,Argon,,,,,,,FAMI108809
,20,1,HMST130-01-WH,10,1,84.33464951,V,1,20,,TOP+BOT,,,,XO,Retrofit,,,,Lowe3 Tmprd,Argon,,,,,,,FAMI108809
,23,1,HMST130-01-WH,2,2,71.33464663047491,V,1,23,,TOP+BOT,,,,OX,Retrofit,,,,Lowe3 Tmprd,Argon,,,,,,,Extreme108784
,24,1,HMST130-01-WH,4,2,71.33464663047491,V,1,24,,TOP+BOT,,,,XO,Retrofit,,,,Lowe3 Tmprd,Argon,,,,,,,Extreme108784
,28,1,HMST130-01-WH,1,2,70.33464566929135,V,1,28,,TOP+BOT,,,,XO,Retrofit,,,Standard,Clear Tmprd,,,,,,,,Daxin108802
,10,1,HMST130-01-WH,3,2,69.83464759165847,V,1,10,,TOP+BOT,,,,XO,Retrofit,,,,Clear Tmprd,,,,,,,,XBXie108874
,18,1,HMST130-01-WH,5,2,69.33464470810777,V,1,18,,TOP+BOT,,,,XO,Retrofit,,,Standard,Lowe3 Tmprd,Argon,,,,,,,Das108715
,9,1,HMST130-01-WH,26,1,120.33464566929136,V,2,9,,TOP+BOT,,,,OX,Nailon,,,,Lowe3 Tmprd,Argon,,,,,,,GaryL108683
,35,1,HMST130-01-WH,16,1,105.8346437469242,V,2,35,,TOP+BOT,,,,OXXO,Nailon,,,,Lowe3 Tmprd,Argon,,,,,,,FAMI108758
,7,1,HMST130-01-WH,13,1,95.83464375,V,2,7,,TOP+BOT,,,,XO,Nailon,,,,Lowe3 Tmprd,Argon,,,,,,Key Lock,CindyY108672
,15,1,HMST130-01-WH,23,1,95.83464375,V,2,15,,TOP+BOT,,,,XO,Nailon,,,,Lowe3 Tmprd,Argon,,,,,,,YFWeng108882
,7,1,HMST130-01-WH,14,1,95.83464375,V,2,7,,Left+Right,,,,XO,Nailon,,,,Lowe3 Tmprd,Argon,,,,,,Key Lock,CindyY108672
,4,1,HMST130-01-WH,24,1,95.33464566929136,V,2,4,,TOP+BOT,,,,XO,Nailon,,,,Lowe3 Tmprd,Argon,,,,,,,LUXE108745
,5,1,HMST130-01-WH,12,1,94.95964951,V,2,5,,TOP+BOT,,,,OX,Block,,,,Clear Tmprd,,,,,,,,Daxin108835
,8,1,HMST130-01-WH,15,1,94.33464951,V,2,8,,TOP+BOT,,,,XO,Nailon,,,,Lowe3 Tmprd,Argon,,,,,,,GaryL108683
