Batch No,Order No,Order Item,Material Name,Cutting ID,Pieces ID,Length,Angles,Qty,Bin No,Cart No,Position,Label Print,Barcode No,PO No,Style,Frame,Product Size,Color,Grid,Glass,Argon,Painting,Product Date,Balance,Shift,Ship date,Note,Customer
10252024-02-02,21,1,HMST82-01-WH,1,1,35.986,V,1,21,,TOP+BOT,,,,SH,Block-slop 1 3/4,,,,cl/le3,Argon,,,,,,,LUXE103244
10252024-02-02,22,1,HMST82-01-WH,1,2,35.986,V,1,22,,TOP+BOT,,,,XO ,Block-slop 1 3/4,,,,cl/le3,Argon,,,,,,,LUXE103244
10252024-02-02,21,1,HMST82-01-WH,2,1,59.986,V,2,21,,LEFT+RIGHT,,,,SH,Block-slop 1 3/4,,,,cl/le3,Argon,,,,,,,LUXE103244
10252024-02-02,22,1,HMST82-01-WH,2,2,23.986,V,2,22,,LEFT+RIGHT,,,,XO ,Block-slop 1 3/4,,,,cl/le3,Argon,,,,,,,LUXE103244
10252024-02-02,21,1,HMST82-02B-WH,1,1,35.986,V,1,21,,TOP+BOT,,,,SH,Block-slop 1 3/4,,,,cl/le3,Argon,,,,,,,LUXE103244
10252024-02-02,22,1,HMST82-02B-WH,1,2,35.986,V,1,22,,TOP+BOT,,,,XO ,Block-slop 1 3/4,,,,cl/le3,Argon,,,,,,,LUXE103244
10252024-02-02,25,1,HMST82-02B-WH,4,1,70.486,V,2,25,,TOP+BOT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103264
10252024-02-02,26,1,HMST82-02B-WH,5,1,70.486,V,2,26,,TOP+BOT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103264
10252024-02-02,35,1,HMST82-02B-WH,6,1,69.611,V,2,35,,TOP+BOT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103274
10252024-02-02,36,1,HMST82-02B-WH,6,2,69.611,V,2,36,,TOP+BOT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103274
10252024-02-02,37,1,HMST82-02B-WH,6,3,69.611,V,2,37,,TOP+BOT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103274
10252024-02-02,38,1,HMST82-02B-WH,7,1,69.611,V,2,38,,TOP+BOT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103274
10252024-02-02,33,1,HMST82-02B-WH,5,2,57.736,V,2,33,,LEFT+RIGHT,,,,OX ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103274
10252024-02-02,34,1,HMST82-02B-WH,7,2,57.736,V,2,34,,LEFT+RIGHT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103274
10252024-02-02,40,1,HMST82-02B-WH,7,3,57.611,V,2,40,,LEFT+RIGHT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103274
10252024-02-02,27,1,HMST82-02B-WH,2,3,46.486,V,2,27,,TOP+BOT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103264
10252024-02-02,28,1,HMST82-02B-WH,3,2,46.486,V,2,28,,TOP+BOT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103264
10252024-02-02,25,1,HMST82-02B-WH,2,1,46.486,V,2,25,,LEFT+RIGHT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103264
10252024-02-02,26,1,HMST82-02B-WH,2,2,46.486,V,2,26,,LEFT+RIGHT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103264
10252024-02-02,27,1,HMST82-02B-WH,3,1,46.486,V,2,27,,LEFT+RIGHT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103264
10252024-02-02,28,1,HMST82-02B-WH,3,3,46.486,V,2,28,,LEFT+RIGHT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103264
10252024-02-02,33,1,HMST82-02B-WH,2,4,45.736,V,2,33,,TOP+BOT,,,,OX ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103274
10252024-02-02,34,1,HMST82-02B-WH,4,2,45.736,V,2,34,,TOP+BOT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103274
10252024-02-02,40,1,HMST82-02B-WH,4,4,45.611,V,2,40,,TOP+BOT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103274
10252024-02-02,38,1,HMST82-02B-WH,4,3,45.611,V,2,38,,LEFT+RIGHT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103274
10252024-02-02,35,1,HMST82-02B-WH,5,3,38.986,V,2,35,,LEFT+RIGHT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103274
10252024-02-02,36,1,HMST82-02B-WH,5,4,38.986,V,2,36,,LEFT+RIGHT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103274
10252024-02-02,37,1,HMST82-02B-WH,3,4,33.611,V,2,37,,LEFT+RIGHT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103274
10252024-02-02,39,1,HMST82-02B-WH,3,5,33.611,V,2,39,,LEFT+RIGHT,,,,XO ,Retrofit,,,,OBS/le3 TP,Argon,,,,,,,LUXE103274
10252024-02-02,39,1,HMST82-02B-WH,2,5,21.736,V,2,39,,TOP+BOT,,,,XO ,Retrofit,,,,OBS/le3 TP,Argon,,,,,,,LUXE103274
10252024-02-02,33,1,HMST82-03-WH,1,1,55.61,V,1,33,,LEFT+RIGHT,,,,OX ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103274
10252024-02-02,34,1,HMST82-03-WH,2,1,55.61,V,1,34,,LEFT+RIGHT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103274
10252024-02-02,40,1,HMST82-03-WH,4,1,55.485,V,1,40,,LEFT+RIGHT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103274
10252024-02-02,25,1,HMST82-03-WH,3,1,44.36,V,1,25,,LEFT+RIGHT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103264
10252024-02-02,26,1,HMST82-03-WH,3,2,44.36,V,1,26,,LEFT+RIGHT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103264
10252024-02-02,27,1,HMST82-03-WH,3,3,44.36,V,1,27,,LEFT+RIGHT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103264
10252024-02-02,28,1,HMST82-03-WH,3,4,44.36,V,1,28,,LEFT+RIGHT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103264
10252024-02-02,38,1,HMST82-03-WH,2,2,43.485,V,1,38,,LEFT+RIGHT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103274
10252024-02-02,35,1,HMST82-03-WH,1,2,36.86,V,1,35,,LEFT+RIGHT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103274
10252024-02-02,36,1,HMST82-03-WH,2,3,36.86,V,1,36,,LEFT+RIGHT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103274
10252024-02-02,29,1,HMST82-03-WH,1,3,32.679,V,1,29,,LEFT+RIGHT,,,,XO ,Nailon,,,,OBS/le3 TP,Argon,,,,,,,LUXE103264
10252024-02-02,30,1,HMST82-03-WH,1,4,32.679,V,1,30,,LEFT+RIGHT,,,,OX ,Nailon,,,,OBS/le3 TP,Argon,,,,,,,LUXE103264
10252024-02-02,31,1,HMST82-03-WH,1,5,32.679,V,1,31,,LEFT+RIGHT,,,,XO ,Nailon,,,,cl/le3,Argon,,,,,,,LUXE103264
10252024-02-02,32,1,HMST82-03-WH,2,4,32.679,V,1,32,,LEFT+RIGHT,,,,XO ,Nailon,,,,cl/le3,Argon,,,,,,,LUXE103264
10252024-02-02,37,1,HMST82-03-WH,1,6,31.485,V,1,37,,LEFT+RIGHT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103274
10252024-02-02,39,1,HMST82-03-WH,2,5,31.485,V,1,39,,LEFT+RIGHT,,,,XO ,Retrofit,,,,OBS/le3 TP,Argon,,,,,,,LUXE103274
10252024-02-02,22,1,HMST82-03-WH,2,6,21.86,V,1,22,,LEFT+RIGHT,,,,XO ,Block-slop 1 3/4,,,,cl/le3,Argon,,,,,,,LUXE103244
10252024-02-02,23,1,HMST82-03-WH,3,5,20.429,V,1,23,,LEFT+RIGHT,,,,XO ,Nailon,,,Standard,cl/le3,Argon,,,,,,,LUXE103243
10252024-02-02,24,1,HMST82-03-WH,3,6,20.429,V,1,24,,LEFT+RIGHT,,,,XO ,Nailon,,,Standard,cl/le3,Argon,,,,,,,LUXE103243
10252024-02-02,25,1,HMST82-03-WH,6,1,34.594,V,2,25,,TOP+BOT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103264
10252024-02-02,26,1,HMST82-03-WH,6,2,34.594,V,2,26,,TOP+BOT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103264
10252024-02-02,35,1,HMST82-03-WH,5,1,34.156,V,2,35,,TOP+BOT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103274
10252024-02-02,36,1,HMST82-03-WH,5,2,34.156,V,2,36,,TOP+BOT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103274
10252024-02-02,37,1,HMST82-03-WH,6,3,34.156,V,2,37,,TOP+BOT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103274
10252024-02-02,38,1,HMST82-03-WH,6,4,34.156,V,2,38,,TOP+BOT,,,,XO ,Retrofit,,,,cl/le3,Argon,,,,,,,LUXE103274
10252024-02-02,23,1,HMST82-03-WH,5,3,28.628,V,2,23,,TOP+BOT,,,,XO ,Nailon,,,Standard,cl/le3,Argon,,,,,,,LUXE103243
10252024-02-02,24,1,HMST82-03-WH,6,5,28.628,V,2,24,,TOP+BOT,,,,XO ,Nailon,,,Standard,cl/le3,Argon,,,,,,,LUXE103243
10252024-02-02,31,1,HMST82-03-WH,5,4,27.253,V,2,31,,TOP+BOT,,,,XO ,Nailon,,,,cl/le3,Argon,,,,,,,LUXE103264
10252024-02-02,32,1,HMST82-03-WH,5,5,27.253,V,2,32,,TOP+BOT,,,,XO ,Nailon,,,,cl/le3,Argon,,,,,,,LUXE103264
